4.99+0i,0.0358739225797187-0.014813981636135i
5+0i,0.0434505729436162-0.0292207976057866i
5.01+0i,0.0354554462774768-0.0261165573846455i
5.02+0i,0.0429646102691011-0.0217511059560463i
5.03+0i,0.0403292446474179-0.0389663395452236i
5.04+0i,0.0377549959945897-0.0145396701605551i
5.05+0i,0.0462414259280774-0.0365654580632447i
5.06+0i,0.0414691310384403-0.0231950104760579i
5.07+0i,0.0473847888072652-0.0263624224664921i
5.08+0i,0.0406868436077125-0.0312530207786821i
5.09+0i,0.0419723244825143-0.0173974408362867i
5.1+0i,0.0412679125459464-0.0384027819247469i
5.11+0i,0.0367206989504454-0.0160450550510099i
5.12+0i,0.0468974379055683-0.0336985977277157i
5.13+0i,0.0407859496797008-0.0276772038420524i
5.14+0i,0.0444635780861985-0.0212661754644311i
5.15+0i,0.0413939520259285-0.0374082486077708i
5.16+0i,0.0388711412639375-0.0150287431549455i
5.17+0i,0.0436554017025324-0.0358876468269073i
5.18+0i,0.036891298787592-0.0186451436422293i
5.19+0i,0.045152099425684-0.0266311471880196i
5.2+0i,0.0404597926245832-0.0339844999015006i
5.21+0i,0.0425017227016515-0.0191376301281535i
5.22+0i,0.0432647525624108-0.0395887965849461i
5.23+0i,0.0386762022390213-0.0154700798828393i
5.24+0i,0.0448326565300038-0.032520919657545i
5.25+0i,0.0358124164408042-0.0250766585475943i
5.26+0i,0.0430672905476267-0.0229079834897241i
5.27+0i,0.0400607508104229-0.0383037599673486i
5.28+0i,0.0406096960639694-0.0146146453287234i
5.29+0i,0.0472195090941006-0.0392593983658093i
5.3+0i,0.0388662739557609-0.0206155466674646i
5.31+0i,0.0458347232178058-0.0242528132807025i
5.32+0i,0.0406244678741807-0.0293926354138913i
5.33+0i,0.041675715350582-0.0195733619181413i
5.34+0i,0.0390348587124817-0.0406180295089979i
5.35+0i,0.0351077259367818-0.0141819894076843i
5.36+0i,0.044763172378254-0.0336040083866395i
5.37+0i,0.0396745000030952-0.0267435157381162i
5.38+0i,0.0446369372876508-0.0255563982168495i
5.39+0i,0.0389244145568755-0.0370728853081i
5.4+0i,0.0390852712190684-0.0123331097436072i
5.41+0i,0.0451124283281674-0.0385175994676582i
5.42+0i,0.0386026152980295-0.0187250962829802i
